yr,mo,dy,dia,mes,year,st,mag,inj,fat,slat,slon,elat,elon,len,wid
1950,1,3,3,1,1950,IL,3,3,0,391,-893,3912,-8923,36,130
1950,1,3,3,1,1950,MO,3,3,0,3877,-9022,3883,-9003,95,150
1950,1,3,3,1,1950,OH,1,1,0,4088,-8458,0,0,1,10
1950,1,13,13,1,1950,AR,3,1,1,344,-9437,0,0,6,17
1950,1,25,25,1,1950,IL,2,0,0,4117,-8733,0,0,1,100
1950,1,25,25,1,1950,MO,2,5,0,376,-9068,3763,-9065,23,300
1950,1,26,26,1,1950,TX,2,2,0,2688,-9812,2688,-9805,47,133
1950,2,11,11,2,1950,TX,2,0,0,2942,-9525,2952,-9513,99,400
1950,2,11,11,2,1950,TX,2,5,0,3235,-952,3242,-952,46,100
1950,2,11,11,2,1950,TX,2,6,0,3298,-9463,330,-947,45,67
1950,2,11,11,2,1950,TX,3,12,1,2967,-9505,2983,-950,120,1000
1950,2,12,12,2,1950,AR,2,0,0,3448,-924,0,0,1,100
1950,2,12,12,2,1950,AR,2,0,0,3327,-9295,3335,-9295,57,100
1950,2,12,12,2,1950,LA,1,0,0,326,-9133,0,0,5,33
1950,2,12,12,2,1950,LA,2,10,5,322,-9358,3297,-9317,584,100
1950,2,12,12,2,1950,LA,3,25,5,3163,-9365,3255,-9303,745,100
1950,2,12,12,2,1950,LA,4,77,18,3197,-940,330,-933,826,100
1950,2,12,12,2,1950,MS,1,0,0,346,-8912,0,0,20,10
1950,2,12,12,2,1950,MS,2,2,3,346,-8912,0,0,1,10
1950,2,12,12,2,1950,TX,1,0,0,3208,-9835,321,-9833,23,233
1950,2,12,12,2,1950,TX,1,32,0,318,-942,3188,-9412,77,100
1950,2,12,12,2,1950,TX,2,0,0,3152,-9655,3157,-9655,34,100
1950,2,12,12,2,1950,TX,2,8,1,3333,-9442,3345,-9442,80,833
1950,2,12,12,2,1950,TX,3,15,3,318,-942,318,-9418,19,50
1950,2,13,13,2,1950,TN,1,8,0,3535,-8977,0,0,2,10
1950,2,13,13,2,1950,TN,2,1,9,3575,-8948,0,0,2,10
1950,2,27,27,2,1950,OK,2,0,0,3555,-976,0,0,20,50
1950,3,1,1,3,1950,MS,1,0,0,325,-8885,0,0,1,10
1950,3,16,16,3,1950,FL,2,0,0,2965,-8122,0,0,15,150
1950,3,19,19,3,1950,LA,0,0,0,297,-901,2967,-898,181,27
1950,3,19,19,3,1950,LA,1,2,0,3045,-9345,0,0,20,33
1950,3,19,19,3,1950,LA,2,0,0,301,-910,0,0,10,50
1950,3,26,26,3,1950,AR,2,3,0,3412,-9307,3432,-9288,174,150
1950,3,26,26,3,1950,AR,2,7,0,347,-9235,348,-9222,104,600
1950,3,26,26,3,1950,AR,2,2,0,351,-914,3515,-9133,54,833
1950,3,26,26,3,1950,AR,3,1,0,3615,-9183,362,-9175,57,200
1950,3,26,26,3,1950,AR,3,20,0,3498,-9173,3508,-915,149,1760
1950,3,27,27,3,1950,IL,2,0,0,4057,-886,406,-8855,30,50
1950,3,27,27,3,1950,LA,1,2,0,3263,-9128,3273,-9105,153,17
1950,3,27,27,3,1950,LA,1,0,0,3092,-9113,0,0,5,27
1950,3,27,27,3,1950,MS,1,2,0,3473,-8827,0,0,1,10
1950,3,27,27,3,1950,MS,2,0,0,3313,-8957,3325,-8942,119,10
1950,3,27,27,3,1950,MS,2,7,0,3228,-9027,3298,-8982,593,50
1950,3,27,27,3,1950,MS,2,6,0,3228,-9027,3248,-8978,319,50
1950,3,27,27,3,1950,MS,2,0,0,3367,-8878,3372,-8873,47,10
1950,3,27,27,3,1950,MS,2,2,1,3317,-9055,0,0,1,10
1950,3,27,27,3,1950,OK,2,0,0,3485,-9575,0,0,1,77
1950,3,27,27,3,1950,TN,1,0,0,3568,-8577,0,0,2,10
1950,4,2,2,4,1950,AR,1,0,0,3598,-8992,0,0,8,100
1950,4,2,2,4,1950,AR,3,8,1,3575,-9122,0,0,25,10
1950,4,2,2,4,1950,OK,2,0,0,3582,-9702,0,0,10,100
1950,4,3,3,4,1950,OK,1,0,0,3613,-9583,0,0,10,33
1950,4,18,18,4,1950,AL,2,0,0,307,-8792,0,0,20,150
1950,4,18,18,4,1950,AL,3,15,0,3067,-882,3085,-881,140,100
1950,4,24,24,4,1950,LA,1,0,0,301,-9003,0,0,20,100
1950,4,27,27,4,1950,SC,1,0,0,3307,-800,0,0,7,37
1950,4,28,28,4,1950,KS,1,0,0,3812,-9585,3835,-9563,198,10
1950,4,28,28,4,1950,OK,2,0,0,3455,-962,0,0,8,100
1950,4,28,28,4,1950,OK,3,1,1,3488,-9928,3517,-992,208,400
1950,4,28,28,4,1950,OK,4,32,5,3508,-964,3513,-9635,45,200
1950,4,28,28,4,1950,TX,4,5,5,3242,-995,3242,-9948,13,233
1950,4,29,29,4,1950,MS,2,0,0,3127,-8983,3138,-897,113,100
1950,4,29,29,4,1950,TX,1,0,0,319,-986,3173,-986,115,200
1950,5,1,1,5,1950,LA,0,0,0,3175,-9225,0,0,10,100
1950,5,1,1,5,1950,LA,1,0,0,317,-933,0,0,20,100
